"acra","acra_library"
"org.apache.directory.studio","ldapbrowser.core"
"org.apache.dolphinscheduler","dolphinscheduler-dao"
"org.apache.drill.exec","drill-java-exec"
"org.apache.druid.extensions","druid-basic-security"
"org.apache.dubbo","dubbo-rpc-http"
"org.apache.dubbo","dubbo-serialization-hessian2"
"org.apache-extras.beanshell","bsh"
"org.apache.felix","org.apache.felix.http.cometd"
"org.apache.felix","org.apache.felix.webconsole"
"org.apache.felix.karaf","org.apache.felix.karaf.client"
"org.apache.flex.blazeds","flex-messaging-core"
"org.apache.flex.blazeds","flex-messaging-remoting"
"org.apache.flink","flink-metrics-jmx"
"org.apache.flink","flink-runtime"
"org.apache.flink","flink-runtime_2.11"
"org.apache.flink","flink-shaded-curator-recipes"
"org.apache.flink","flink-shaded-curator-recipes_2.11"
"org.apache.flink","flink-yarn-tests"
"org.apache.geode","geode-core"
"org.apache.geode","geode-cq"
"org.apache.geode","geode-junit"
"org.apache.geode","geode-lucene"
"org.apache.geode","geode-pulse"
"org.apache.geode","geode-wan"
"org.apache.geronimo","geronimo"
"org.apache.geronimo","geronimo-tomcat"
"org.apache.geronimo.bundles","woodstox"
"org.apache.geronimo.framework","geronimo-jmx-remoting"
"org.apache.geronimo.framework","geronimo-kernel"
"org.apache.geronimo.framework","geronimo-security"
"org.apache.geronimo.modules","geronimo-tomcat"
"org.apache.geronimo.modules","geronimo-tomcat6"
"org.apache.hadoop","hadoop-auth"
"org.apache.hadoop","hadoop-client"
"org.apache.hadoop","hadoop-common"
"org.apache.hadoop","hadoop-core"
"org.apache.hadoop","hadoop-hdfs"
"org.apache.hadoop","hadoop-hdfs-client"
"org.apache.hadoop","hadoop-main"
"org.apache.hadoop","hadoop-mapreduce"
"org.apache.hadoop","hadoop-mapreduce-client"
"org.apache.hadoop","hadoop-mapreduce-client-app"
"org.apache.hadoop","hadoop-mapreduce-client-core"
"org.apache.hadoop","hadoop-mapreduce-client-hs"
"org.apache.hadoop","hadoop-mapreduce-client-jobclient"
"org.apache.hadoop","hadoop-project"
"org.apache.hadoop","hadoop-test"
"org.apache.hadoop","hadoop-yarn"
"org.apache.hadoop","hadoop-yarn-api"
"org.apache.hadoop","hadoop-yarn-common"
"org.apache.hadoop","hadoop-yarn-registry"
"org.apache.hadoop","hadoop-yarn-server"
"org.apache.hadoop","hadoop-yarn-server-applicationhistoryservice"
"org.apache.hadoop","hadoop-yarn-server-common"
"org.apache.hadoop","hadoop-yarn-server-nodemanager"
"org.apache.hadoop","hadoop-yarn-server-resourcemanager"
"org.apache.hadoop","zookeeper"
"org.apache.hbase","hbase"
"org.apache.hbase","hbase-client"
"org.apache.hbase","hbase-thrift"
"org.apache.hive","hive"
"org.apache.hive","hive-common"
"org.apache.hive","hive-exec"
"org.apache.hive","hive-hplsql"
"org.apache.hive","hive-jdbc"
"org.apache.hive","hive-service"
"org.apache.hive.hcatalog","hive-webhcat"
"org.apache.hive.shims","hive-shims-common-secure"
"org.apache.httpcomponents","httpasyncclient"
"org.apache.httpcomponents","httpclient"
"org.apache.httpcomponents","httpcomponents-client"
"org.apache.httpcomponents","httpmime"
"org.apache.ignite","ignite-core"
"org.apache.ignite","ignite-yarn"
"org.apache.iotdb","iotdb-server"
"org.apache.jackrabbit","jackrabbit"
"org.apache.jackrabbit","jackrabbit-spi"
"org.apache.jackrabbit","jackrabbit-spi2dav"
"org.apache.jackrabbit","jackrabbit-standalone"
"org.apache.jackrabbit","jackrabbit-webdav"
"org.apache.jackrabbit","oak-run"
"org.apache.james","james-server"
"org.apache.jclouds","jclouds-compute"
"org.apache.jmeter","ApacheJMeter_core"
"org.apache.jspwiki","jspwiki-builder"
"org.apache.jspwiki","jspwiki-main"
"org.apache.jspwiki.it","jspwiki-selenide-tests"
"org.apache.juddi","juddi-client"
"org.apache.juddi","juddi-core"
"org.apache.juddi","juddi-gui-dsig"
"org.apache.juddi","juddi-gui-war"
"org.apache.juddi","juddi-portal-bundle"
